更新时间,#genre#
20240626-01-38-20,url

blacklist,#genre#
CCTV1,http://111.177.107.69:20000/hls/11/index.m3u8
CCTV1,http://111.177.107.69:20000/hls/12/index.m3u8
CCTV1,http://111.225.113.109:808/home/storager/6bbc84c2-18fb-444e-a900-d7ed884a2731/live/0001_1.m3u8
CCTV1,http://111.230.30.193/php/lyd.php?id=6559
CCTV1,http://113.101.119.76:808/hls/114/index.m3u8
CCTV1,http://114.254.90.80:2222/rtp/239.3.1.129:8008
CCTV1,http://116.179.130.179:8000/rtp/226.0.2.153:9136
CCTV1,http://116.179.130.179:8000/rtp/226.0.2.16:8040
CCTV1,http://116.235.182.7:4022/udp/239.45.3.145:5140
CCTV1,http://117.175.185.226:4088/rtp/239.11.0.65:5140
CCTV1,http://118.249.23.89:9999/udp/239.76.246.151:1234
CCTV1,http://118.249.23.89:9999/udp/239.76.253.151:9000
CCTV1,http://120.196.232.19:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226737/1.m3u8
CCTV1,http://120.197.112.28:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://120.41.124.228:8888/rtp/239.61.3.61:9884
CCTV1,http://122.231.246.139:8888/rtp/233.50.201.118:5140
CCTV1,http://123.101.158.95:808/hls/1/index.m3u8
CCTV1,http://123.182.161.69:8989/rtp/239.254.200.45:8008
CCTV1,http://123.6.102.32:11789/850.php?id=cctv1hd.m3u8
CCTV1,http://125.78.13.118:4022/rtp/239.61.3.61:9884
CCTV1,http://148.135.93.213:81/live.php?id=CCTV1
CCTV1,http://171.116.223.129:8085/rtp/226.0.2.153:9136
CCTV1,http://171.116.223.129:8085/rtp/226.0.2.16:8040
CCTV1,http://171.221.34.38:4022/udp/239.93.0.184:5140
CCTV1,http://182.112.28.194:808/hls/1/index.m3u8
CCTV1,http://183.185.172.208:8082/rtp/226.0.2.153:9136
CCTV1,http://183.185.172.208:8082/rtp/226.0.2.16:8040
CCTV1,http://183.185.172.208:8085/rtp/226.0.2.153:9136
CCTV1,http://183.185.172.208:8085/rtp/226.0.2.16:8040
CCTV1,http://183.92.4.163:4000/udp/228.0.0.1:6108
CCTV1,http://193.lijinhui.asia:8888/rtp/239.254.97.96:8550
CCTV1,http://221.205.129.153:9999/tsfile/live/0001_1.m3u8
CCTV1,http://27.10.76.220:8002/udp/225.0.4.74:7980
CCTV1,http://27.10.76.220:8003/udp/225.0.4.74:7980
CCTV1,http://27.10.76.220:8005/udp/225.0.4.74:7980
CCTV1,http://36.40.237.80:9999/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://39.77.3.5:8989/udp/239.253.254.77:8000
CCTV1,http://58.37.210.252:8888/udp/239.45.3.145:5140
CCTV1,http://59.174.208.101:4022/rtp/239.254.96.96:8550
CCTV1,http://60.27.20.217:4022/rtp/225.1.1.120:5002
CCTV1,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226016/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV1,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV1,http://[2409:8087:2801:22:100::7d]/wh7f454c46tw3073776522_1064749656/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221236222/index.m3u8?icpid=88888888&RTS=1717809603&from=5&ocs=2_2409:8087:2801:22:100::74_80&hms_devid=323&online=1717809603&vqe=3
CCTV1,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y
CCTV1,http://[2409:8087:4c0a:22:1::43]:6610/170000001115/UmaiCHAN111128BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUU6FFmRK8Hl0ytyd5e5kWGEwoDIwMxbrlyyVy9x6ZDKnldIYKOjBOUjRyoym5n7Kg0yIYstFTUfqtC14fzxhy5Y&IASHttpSessionId=SLB397020240312045930228308
CCTV1,http://[2409:8087:5e01:34::20]:6610/ZTE_CMS/00000001000000060000000000000131/index.m3u8?IAS
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
